id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817462,1721746320,1721746321000000000,1721746321,1.087645,1.087645,1.087645,1.087645,0,1.08765,1.0876558363443316,47.310137778481966,-5.049215117791661e-06,-4.860532979713341e-06,1.0876740831891563,1.0876259168108438
210817463,1721746321,1721746322000000000,1721746322,1.087645,1.087645,1.087645,1.087645,0,1.0876495,1.087655411389652,47.310137778481966,-4.766353403518053e-06,-4.841697064474284e-06,1.0876735624188296,1.0876254375811703
210817464,1721746322,1721746323000000000,1721746323,1.087645,1.087645,1.087645,1.087645,0,1.0876484999999998,1.0876550030998617,47.310137778481966,-4.490420682401464e-06,-4.771441788059721e-06,1.087671543437242,1.0876254565627577
210817465,1721746323,1721746324000000000,1721746324,1.087655,1.087655,1.087655,1.087655,0,1.0876485,1.0876550029782985,51.93002074336897,-3.425340394880294e-06,-4.502221509423836e-06,1.0876715434372421,1.0876254565627579
210817466,1721746324,1721746325000000000,1721746325,1.087655,1.087655,1.087655,1.087655,0,1.0876484999999998,1.0876550028615026,51.93002074336897,-2.5518405639690656e-06,-4.1121453203328815e-06,1.087671543437242,1.0876254565627577
210817467,1721746325,1721746326000000000,1721746326,1.087635,1.087635,1.087635,1.087635,0,1.0876480000000002,1.0876542184355613,43.153551809161485,-3.433835390920237e-06,-3.976483334450353e-06,1.087671748684173,1.0876242513158274
210817468,1721746326,1721746327000000000,1721746327,1.087635,1.087635,1.087635,1.087635,0,1.087647,1.0876534647714216,43.153551809161485,-4.08572495169679e-06,-3.99833165789964e-06,1.0876711660919458,1.0876228339080543
210817469,1721746327,1721746328000000000,1721746328,1.087645,1.087645,1.087645,1.087645,0,1.0876465,1.087653132819601,48.22743406497461,-3.752182870186971e-06,-3.949101900357106e-06,1.0876703956062892,1.0876226043937107
210817470,1721746328,1721746329000000000,1721746329,1.087615,1.087615,1.087615,1.087615,0,1.0876435,1.0876516374149108,37.433043514582316,-5.841263200911939e-06,-4.327534160468073e-06,1.0876673956062892,1.0876196043937107
210817471,1721746329,1721746330000000000,1721746330,1.087635,1.087635,1.087635,1.087635,0,1.0876415,1.087650984967267,46.09517954068386,-5.815998352254326e-06,-4.625226998825324e-06,1.0876607613602824,1.0876222386397174
